"loan_id","ref_no","ltype_id","borrower_id","purpose","amount","lplan_id","status","tx_fee","date_released","date_created"
"1","13092114","1","21","ALLOWANCE FOR BASIC TRAINING OF LIVE-IN PARTNER","20000","10","3","0","2023-01-07 00:00:00","2023-01-07 00:00:00"
"2","2215284","1","29","PAYMENT FOR PLDT BILLS","10000","8","3","0","2023-01-07 00:00:00","2023-01-07 00:00:00"
"3","73502231","2","132","BUSINESS","35000","18","3","0","2023-01-07 00:00:00","2023-01-07 00:00:00"
"4","27012786","2","104","PALIT TAMBAL MAINTENANCE","2000","14","2","0","2023-01-14 00:00:00","2023-01-23 00:00:00"
"5","35916088","2","139","CAPITAL SMALL BUSINESS","9900","16","3","0","2023-01-23 00:00:00","2023-01-14 00:00:00"
"6","84467184","2","109","VENDOR POHONAN","5000","15","2","0","2023-01-14 00:00:00","2023-01-14 00:00:00"
"7","53916761","2","52","PERSONAL USE","7000","22","3","0","2023-01-14 00:00:00","2023-01-14 00:00:00"
"8","46615093","1","4","HOUSING","9900","10","3","0","2023-01-14 00:00:00","2023-01-14 00:00:00"
"9","18638281","2","71","TUITION FEE AND ENROLLMENT","9900","22","3","0","2023-01-14 00:00:00","2023-01-14 00:00:00"
"10","71622380","2","150","PANAGAT","5000","18","3","0","2023-01-23 00:00:00","2023-01-23 00:00:00"
"11","81637796","2","151","BAYAD UTANG","5000","18","3","0","2023-01-23 00:00:00","2023-01-23 00:00:00"
"12","82051637","2","152","ADDITIONAL CAPITAL","5000","18","3","0","2023-01-23 00:00:00","2023-01-23 00:00:00"
"13","50012830","2","153","?","5000","16","3","0","2023-01-23 00:00:00","2023-01-23 00:00:00"
"14","6786107","2","62","CAPITAL MAKINA SA PUMPBOAT","9000","18","3","0","2023-02-06 00:00:00","2002-01-30 00:00:00"
"15","61826126","2","154","HOUSE RENOVATION","9900","20","2","0","2023-02-06 00:00:00","2023-02-04 00:00:00"
"16","28791775","2","155","ADDITIONAL CAPITAL","5000","17","3","0","2023-02-06 00:00:00","2023-01-24 00:00:00"
"17","51350595","1","10","HOUSE IMPROVEMENT","30000","6","3","0","2023-02-06 00:00:00","2023-02-04 00:00:00"
"18","86351288","1","7","REHISTRO SA BUNYAG","10000","6","3","0","2023-02-06 00:00:00","2023-02-06 00:00:00"
"19","38725869","2","156","DAGDAG PUHUNAN","150000","15","3","0","2023-02-16 00:00:00","2023-02-16 00:00:00"
"20","69872325","2","157","PUHUNAN","5000","17","3","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"21","7620302","2","158","FISH VENDING","5000","17","2","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"22","89005120","1","33","HOUSE REPAIR","10000","8","3","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"23","73155858","2","159","ADDITIONAL CAPITAL","5000","17","3","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"24","70046849","2","140","PUHUNAN","10000","17","3","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"25","75518377","2","160","DEATH ANNIVERSARY","6000","18","3","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"26","76898172","2","56","BAYAD MOTOR","5000","18","3","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"27","10755397","2","83","GABAS LUBI","7000","17","3","0","2023-02-21 00:00:00","2023-02-21 00:00:00"
"28","83463567","2","18","HOUSE REPAIR","9000","18","3","0","2023-03-04 00:00:00","2023-02-25 00:00:00"
"29","94353879","2","162","HOUSE REPAIR","5000","17","3","0","2023-03-04 00:00:00","2023-03-04 00:00:00"
"30","85962278","2","35","HOUSE REPAIR","5000","15","3","0","2023-03-06 00:00:00","2023-03-06 00:00:00"
"31","91318998","2","27","HOUSE REPAIR","5000","17","2","0","2023-03-06 00:00:00","2023-03-06 00:00:00"
"32","95230161","2","50","HOUSE REPAIR","4000","17","3","0","2023-03-06 00:00:00","2023-03-06 00:00:00"
"33","37657462","1","34","VEHICLE REGISTRATION","5000","3","3","0","2023-03-21 00:00:00","2023-03-21 00:00:00"
"34","66438267","2","169","REPAIR MOTOR","8000","17","3","0","2023-03-21 00:00:00","2023-03-21 00:00:00"
"35","23301156","2","170","MEDICINE","2000","14","3","0","2023-03-21 00:00:00","2023-03-21 00:00:00"
"36","92704385","2","171","BUSINESS CAPITAL","9000","18","2","0","2023-03-21 00:00:00","2023-03-21 00:00:00"
"37","49020867","2","172","CAPITAL","9000","17","3","0","2023-03-21 00:00:00","2023-03-21 00:00:00"
"38","3877868","1","173","PERSONAL MATTER","9000","3","3","0","2023-03-21 00:00:00","2023-03-21 00:00:00"
"39","9164559","1","174","HOUSE REPAIR","10000","7","3","0","2023-04-06 00:00:00","2023-04-06 00:00:00"
"40","83063804","1","175","REGISTRATION  RENEWAL FOR TRICYCLE UNIT","20000","3","3","0","2023-04-06 00:00:00","2023-04-06 00:00:00"
"41","86413623","2","166","HOUSE REPAIR","9990","17","2","0","2023-03-11 00:00:00","2023-03-11 00:00:00"
"42","67105629","2","167","HOUSE REPAIR","9900","17","2","0","2023-03-11 00:00:00","2023-03-11 00:00:00"
"43","85454053","2","156","puhunan","250000","18","3","0","2023-05-06 00:00:00","2023-05-06 00:00:00"
"44","13752764","2","146","laboratory","9900","18","3","0","2023-05-06 00:00:00","2023-05-06 00:00:00"
"45","55869059","2","139","capital","9900","20","3","0","2023-05-06 00:00:00","2023-05-06 00:00:00"
"46","12930043","1","26","palit celpon","4000","5","3","0","2023-05-06 00:00:00","2023-05-06 00:00:00"
"47","38255463","2","60","personal finance","25000","14","3","0","2023-05-06 00:00:00","2023-05-06 00:00:00"
"48","97178335","2","176","ADDITIONAL FROZEN FOODS","5000","17","3","0","2023-05-20 00:00:00","2023-05-20 00:00:00"
"49","54695404","2","177","ADDITIONAL CAPITAL","5000","17","3","0","2023-05-21 00:00:00","2023-05-21 00:00:00"
"50","52917948","2","178","BAYAD SA MOTOR","5000","17","3","0","2023-05-21 00:00:00","2023-05-21 00:00:00"
"51","6842552","2","179","ADDITIONAL CAPITAL","5000","15","3","0","2023-05-21 00:00:00","2023-05-21 00:00:00"
"52","13228196","2","36","PERSONAL REASON","5000","15","3","0","2023-04-06 00:00:00","2023-04-06 00:00:00"
"53","64887800","2","111","PUHUNAN","9000","18","3","0","2023-04-06 00:00:00","2023-04-06 00:00:00"
"54","58534815","1","181","PAY BILLS MATTERNITY","5000","3","3","0","2023-04-06 00:00:00","2023-04-06 00:00:00"
"55","25104047","1","182","SCHOOL ASSISTANCE","9000","5","3","0","2023-04-06 00:00:00","2023-04-06 00:00:00"
"56","87604785","2","44","FISHING NET","20000","17","3","0","2023-04-21 00:00:00","2023-04-21 00:00:00"
"57","91863838","2","180","PANGANAK ASAWA","5000","13","3","0","2023-03-31 00:00:00","2023-03-31 00:00:00"
"58","67629146","2","183","BUY & SALE","3000","15","3","0","2023-06-06 00:00:00","2023-06-06 00:00:00"
"59","4210897","1","22","CAPITAL","5000","5","3","0","2023-06-06 00:00:00","2023-06-06 00:00:00"
"60","3781886","1","24","WATER PUMP","6000","6","3","0","2023-06-06 00:00:00","2023-06-06 00:00:00"
"61","77525553","1","14","HOUSE REPAIR","20000","12","3","0","2023-06-06 00:00:00","2023-06-06 00:00:00"
"62","44843335","2","78","PERSONAL LOAN","5000","17","2","0","2023-06-06 00:00:00","2023-06-06 00:00:00"
"63","71530661","1","34","PUMPBOAT","15000","6","3","0","2023-06-06 00:00:00","2023-06-06 00:00:00"
"64","26539669","2","184","PATAOD TUBIG","3000","15","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"65","11916266","1","175","EDUCATION","27000","6","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"66","87801369","2","13","CAPITAL","15000","22","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"67","73485638","2","132","BUSINESS","40000","22","2","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"68","73627502","2","36","PERSONAL","9000","17","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"69","21572556","2","35","PARA BASAK","9000","17","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"70","57814759","1","186","PARA BASAK","9000","10","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"71","79800834","2","188","PALIT PISA MOTOR","5000","17","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"72","96091118","2","189","CAPITAL","5000","16","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"73","111062","2","190","CAPITAL","5000","16","3","0","2023-06-30 00:00:00","2023-06-30 00:00:00"
"74","18427485","2","187","personal","3000","13","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"75","47957744","1","185","PARA BASAK","9000","10","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"76","23891895","2","140","REPAIR BALAY","10000","17","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"77","60836732","2","191","CAPITAL","3000","17","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"78","35988264","2","60","FINACIAL","20000","14","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"79","89954573","2","162","CAPITAL","9000","20","3","0","2023-07-06 00:00:00","2023-07-06 00:00:00"
"80","69519177","1","12","BASAK","17000","7","3","0","2023-07-21 00:00:00","2023-07-21 00:00:00"
"81","37386186","2","192","PALIT BAKTIN","5000","17","3","0","2023-07-21 00:00:00","2023-07-21 00:00:00"
"82","62780190","2","159","CAPITAL","8000","18","3","0","2023-07-21 00:00:00","2023-07-21 00:00:00"
"83","45672710","2","83","REPAIR MOTOR","10000","17","3","0","2023-07-21 00:00:00","2023-07-21 00:00:00"
"84","64282369","1","173","personal","10000","5","3","0","2023-08-06 00:00:00","2023-08-06 00:00:00"
"85","75514963","2","145","emergency","8000","17","3","0","2023-08-06 00:00:00","2023-08-06 00:00:00"
"86","9399032","1","7","paid bordinghouse","9900","7","3","0","2023-08-06 00:00:00","2023-08-06 00:00:00"
"87","23776463","1","29","personal","9900","8","3","0","2023-08-06 00:00:00","2023-08-06 00:00:00"
"88","77319403","2","193","PALIT TAMBAL","5000","17","3","0","2023-08-06 00:00:00","2023-08-06 00:00:00"
"89","24161379","1","11","PLETE SA IYANG MAMA","20000","10","3","0","2023-08-06 00:00:00","2023-08-06 00:00:00"
"90","48847842","2","195","PERSONAL","5000","16","3","0","2023-08-06 00:00:00","2023-08-06 00:00:00"
"91","43530915","2","194","FINACIAL","10000","14","3","0","2023-08-05 00:00:00","2023-08-05 00:00:00"
"92","16598157","2","196","ONLINE BUSINESS","3000","15","3","0","2023-08-21 00:00:00","2023-08-21 00:00:00"
"93","94366138","2","183","BUY MATERIAL","9000","17","3","0","2023-08-20 00:00:00","2023-08-20 00:00:00"
"94","285769","1","25","BUY SCHOOL SUPPLIES","5000","4","3","0","2023-08-21 00:00:00","2023-08-21 00:00:00"
"95","62636513","1","30","PAHIMO PUMBOAT","10000","5","3","0","2023-08-21 00:00:00","2023-08-21 00:00:00"
"96","85493783","2","172","SARI-SARI STORE","9000","17","3","0","2023-08-21 00:00:00","2023-08-21 00:00:00"
"97","19250163","2","197","PUHUNAN","5000","17","2","0","2023-08-21 00:00:00","2023-08-21 00:00:00"
"98","20889176","2","198","MAINTINANCE","5000","17","3","0","2023-08-21 00:00:00","2023-08-21 00:00:00"
"99","50890214","2","103","FURNITURE","6399","18","3","0","2023-07-16 00:00:00","2023-07-16 00:00:00"
"100","23549061","2","199","PUHUNAN","3000","15","3","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"101","57887744","2","160","BUSINESS","9000","18","2","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"102","19993116","1","26","PALIT MATERIALS","10000","8","3","0","2023-08-21 00:00:00","2023-08-21 00:00:00"
"103","67098872","2","200","ADDITIONAL CAPITAL","3000","15","2","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"104","66639812","2","201","CAPITAL","5000","16","2","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"105","76463703","2","202","ONLINE SELLER","3000","15","2","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"106","86988627","2","203","FISH VENDOR","3000","15","3","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"107","83745946","2","170","PERSONAL","4000","14","3","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"108","12565330","1","204","BUY MATERIALES","9000","10","3","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"109","81876987","1","205","BAYAD TRYCYCLE","9000","10","3","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"110","17617610","2","18","BAYAD HOSPITAL","5000","15","3","0","2023-09-06 00:00:00","2023-09-06 00:00:00"
"111","63054848","2","206","CAPITAL","3000","16","3","0","2023-09-21 00:00:00","2023-09-21 00:00:00"
"112","28543537","1","207","PALIT ABUNO","9000","10","2","0","2023-09-21 00:00:00","2023-09-21 00:00:00"
"113","75838679","1","4","MAINTENANCE","9000","10","2","0","2023-09-21 00:00:00","2023-09-21 00:00:00"
"114","57749031","2","124","PROCESS LAND TITLE","5000","16","3","0","2023-09-21 00:00:00","2023-09-21 00:00:00"
"115","7842877","2","111","PUHUNAN","9000","18","3","0","2023-09-21 00:00:00","2023-09-21 00:00:00"
"116","63227225","2","194","financial","20000","15","3","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"117","58174567","1","174","add code license","20000","10","2","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"118","21162417","2","177","capital","9000","18","3","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"119","29942596","2","176","capital","9000","22","3","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"120","93466116","1","34","PAAYO MOTOR","15000","6","3","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"121","98091916","2","208","CAPITAL","5000","17","3","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"122","76628181","1","22","PERSONAL","20000","3","3","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"123","80030707","2","189","FISHING","9000","18","2","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"124","45370104","2","190","CAPITAL","9000","18","2","0","2023-10-06 00:00:00","2023-10-06 00:00:00"
"125","62845455","2","209","REPAIR PUMPBOAT","5000","16","2","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"126","58586733","2","71","TUITION FEE","9000","17","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"127","21088828","2","52","HOUSE IMPROVEMENT","9000","18","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"128","18135385","2","19","ALLOWANCE","20000","18","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"129","72592917","2","108","PERSONAL","9000","18","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"130","65516897","2","102","PERSONAL","9000","18","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"131","30427052","2","199","CAPITAL","5000","17","2","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"132","31774611","2","146","PERSONAL","9000","18","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"133","6346748","2","210","SARI SARI STORE","5000","17","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"134","22962714","2","211","REPAIR HOUSE","5000","17","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"135","79933815","2","212","CAPITAL","5000","15","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"136","78883746","2","213","CAPITAL","3000","15","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"137","8670863","2","214","PIGGERY","3000","15","3","0","2023-10-21 00:00:00","2023-10-21 00:00:00"
"138","92814320","2","191","CAPITAL","9000","17","2","0","2023-11-06 00:00:00","2023-11-06 00:00:00"
"139","9418658","2","170","PERSONAL","2000","14","3","0","2023-11-06 00:00:00","2023-11-06 00:00:00"
"140","28826154","2","215","RENOVATION","5000","15","3","0","2023-11-06 00:00:00","2023-11-06 00:00:00"
"141","43957547","2","188","BAYAD TUBIG","5000","17","3","0","2023-11-06 00:00:00","2023-11-06 00:00:00"
"142","32047659","2","140","business","15000","18","3","0","2023-11-21 00:00:00","2023-11-21 00:00:00"
"143","77468442","2","195","personal","5000","17","3","0","2023-11-21 00:00:00","2023-11-21 00:00:00"
"144","22323675","2","178","personal","7000","17","3","0","2023-11-21 00:00:00","2023-11-21 00:00:00"
"145","71866407","1","21","personal","10000","10","2","0","2023-11-21 00:00:00","2023-11-21 00:00:00"
"146","12431625","2","216","CAPITAL","5000","17","3","0","2023-11-21 00:00:00","2023-11-21 00:00:00"
"147","45736830","2","217","HOUSE REPAIR","5000","17","3","0","2023-11-21 00:00:00","2023-11-21 00:00:00"
