"loan_id","schedule_id","pay_amount","penalty","date_created","balance","capital_paid","interest_paid"
"1","1","1300","0","2023-01-15 00:00:00","0","935","300"
"2","21","775","0","2023-01-15 00:00:00","0","625","150"
"7","68","560","0","2023-02-04 00:00:00","0","350","210"
"5","50","1534.5","0","2023-02-04 00:00:00","0","1237.5","297"
"10","127","566.67","0","2023-02-04 00:00:00","0","416.67","150"
"3","37","3966.67","0","2023-01-19 00:00:00","0","2916.67","1050"
"3","38","3966.67","0","2023-02-05 00:00:00","0","2916.67","1050"
"4","64","560","0","2023-02-05 00:00:00","0","500","60"
"4","65","560","0","2023-02-18 00:00:00","0","500","60"
"5","51","1534.5","0","2023-02-18 00:00:00","0","1237.5","297"
"6","58","983.33","0","2023-02-04 00:00:00","0","833.33","150"
"7","69","588","28","2023-02-22 00:00:00","28","322","210"
"9","108","792","0","2023-02-04 00:00:00","0","495","297"
"9","109","831.6","39.6","2023-02-22 00:00:00","31.6","463.4","297"
"10","128","566.67","0","2023-02-18 00:00:00","0","416.67","150"
"11","139","566.67","0","2023-02-04 00:00:00","0","416.67","150"
"11","140","566.67","0","2023-02-20 00:00:00","0","416.67","150"
"12","151","595","28.33","2023-02-18 00:00:00","0","416.67","150"
"12","152","566.67","0","2023-02-18 00:00:00","0","416.67","150"
"13","163","813.75","38.75","2023-02-18 00:00:00","38.75","586.25","150"
"13","164","775","0","2023-02-18 00:00:00","0","586.25","150"
"14","171","1020","0","2023-02-11 00:00:00","0","750","270"
"16","223","650","0","2023-02-20 00:00:00","0","500","150"
"1","2","1300","0","2023-01-31 00:00:00","0","1000","300"
"1","3","1300","0","2023-02-15 00:00:00","0","1000","300"
"2","22","775","0","2023-01-31 00:00:00","0","625","150"
"2","23","775","0","2023-02-15 00:00:00","0","625","150"
"8","88","643.5","0","2023-01-31 00:00:00","0","495","148.5"
"8","89","643.5","0","2023-02-15 00:00:00","0","495","148.5"
"18","211","983.33","0","2023-02-15 00:00:00","0","833.33","150"
"19","234","29500","0","2023-03-02 00:00:00","0","25000","4500"
"20","239","650","0","2023-03-04 00:00:00","0","500","150"
"5","52","1534.5","0","2023-03-03 00:00:00","0","1237.5","297"
"11","141","566.67","0","2023-03-04 00:00:00","0","416.67","150"
"11","142","566.67","0","2023-03-04 00:00:00","533.34","0","33.33"
"24","285","1300","0","2023-03-01 00:00:00","0","1000","300"
"15","183","915.75","0","2023-02-15 00:00:00","0","618.75","297"
"10","129","566.67","0","2023-03-04 00:00:00","0","416.67","150"
"21","249","650","0","2023-03-04 00:00:00","0","500","150"
"26","307","566.67","0","2023-03-05 00:00:00","16.67","400","150"
"16","224","650","0","2023-03-05 00:00:00","30","470","150"
"25","295","714","34","2023-03-06 00:00:00","0","500","180"
"13","165","775","0","2023-03-05 00:00:00","38.75","586.25","150"
"7","70","560","0","2023-03-05 00:00:00","0","350","210"
"23","275","650","0","2023-03-05 00:00:00","0","500","150"
"9","110","792","0","2023-03-05 00:00:00","0","495","297"
"9","109","831.6","39.6","2023-02-22 00:00:00","0","31.6","0"
"15","184","915.75","0","2023-03-04 00:00:00","0","618.75","297"
"19","235","29500","0","2023-03-15 00:00:00","0","25000","4500"
"19","236","29500","0","2023-03-30 00:00:00","0","25000","4500"
"19","237","29500","0","2023-04-15 00:00:00","0","25000","4500"
"19","238","29500","0","2023-04-30 00:00:00","0","25000","4500"
"19","233","29500","0","2023-04-30 00:00:00","0","25000","4500"
"5","53","1534.5","0","2023-03-20 00:00:00","0","1237.5","297"
"5","54","1534.5","0","2023-03-30 00:00:00","0","1237.5","297"
"5","55","1534.5","0","2023-04-15 00:00:00","0","1237.5","297"
"5","56","1534.5","0","2023-04-30 00:00:00","0","1237.5","297"
"5","49","1534.5","0","2023-05-05 00:00:00","0","1237.5","297"
"10","130","566.67","0","2023-03-15 00:00:00","0","416.67","150"
"6","59","983.33","0","2023-02-18 00:00:00","0","833.33","150"
"27","319","910","0","2023-03-04 00:00:00","0","700","210"
"35","397","560","0","2023-03-04 00:00:00","0","500","60"
"3","39","3966.67","0","2023-02-20 00:00:00","0","2916.67","1050"
"6","60","983.33","0","2023-02-20 00:00:00","0","833.33","150"
"3","40","3966.67","0","2023-03-05 00:00:00","0","2916.67","1050"
"12","153","595","28.33","2023-03-06 00:00:00","0","416.67","150"
"12","154","595","28.33","2023-03-21 00:00:00","0","416.67","150"
"14","172","1020","0","2023-03-05 00:00:00","0","750","270"
"17","199","2950","0","2023-02-20 00:00:00","0","2500","450"
"17","200","3097.5","147.5","2023-03-15 00:00:00","147.5","2352.5","450"
"22","259","775","0","2023-02-28 00:00:00","0","625","150"
"22","260","775","0","2023-03-15 00:00:00","0","625","150"
"22","261","775","0","2023-03-30 00:00:00","0","625","150"
